#QUESTION,CHOICE1,CHOICE2,CHOICE3,CHOICE4/ANSWER
What year did Australia become a federation?,1910,1899,1911,1901
"One of the deadliest pandemics, the &quot;Spanish Flu&quot;, killed off what percentage of the human world population at the time?",6 to 10 percent,1 to 3 percent,less than 1 percent,3 to 6 percent
The Spitfire L.F. Mk IX had what engine?,Griffon 65,Merlin 50,Merlin X,Merlin 66
How many times was Albert Einstein married in his lifetime?,Five,Thrice,Once,Twice
In what dialogue did Socrates defend himself to the court of Athens? ,The Euthyphro,The Laws,The Republic,The Apology
When was the United States National Security Agency established?,"July 26, 1908"," July 1, 1973"," November 25, 2002","November 4, 1952"
"What is the bloodiest event in United States history, in terms of casualties?",Pearl Harbor,September 11th,D-Day,Battle of Antietam
"What happened on June 6, 1944?",Atomic bombings of Hiroshima and Nagasaki,Attack on Pearl Harbor,The Liberation of Paris,D-Day
What was the capital of South Vietnam before the Vietnam War?,Ho Chi Minh City,Hanoi,Hue,Saigon
The Panama Canal was finished under the administration of which U.S. president?,Franklin Delano Roosevelt,Herbert Hoover,Theodore Roosevelt,Woodrow Wilson
Who was the first president born in the independent United States?,John Adams,George Washington,James Monroe ,Martin Van Buren
What is the name of the US Navy spy ship which was attacked and captured by North Korean forces in 1968?,USS North Carolina,USS Constitution,USS Indianapolis,USS Pueblo
